L	0.0883937	
R	4.06513	
L	0.717148	
R	3.65047	
L	0.723509	
R	0.151956	
L	0.795559	
R	1.61686	
L	2.59446	
R	1.36506	
L	0.921509	
R	7.19427	
L	2.71777	
R	6.31348	
L	2.11668	
R	0.574225	
L	2.51355	
R	2.68913	
L	3.71741	
R	0.47127	
L	3.00713	
R	6.20813	
L	0.446616	
R	1.85252	
L	4.2782	
R	6.25766	
L	3.01211	
R	5.1414	
L	1.25886	
R	1.15534	
L	1.36482	
R	1.90037	
L	0.0630074	
R	3.628	
L	0.117003	
R	4.38507	
L	0.194013	
R	5.13768	
L	0.494993	
R	5.12957	
L	1.13351	
R	3.47996	
L	5.19026	
R	5.73593	
L	1.57744	
R	2.42448	
L	0.282337	
R	1.36237	
L	2.94274	
R	0.589071	
L	0.812384	
R	3.50084	
L	0.664181	
R	1.41904	
L	0.754566	
R	0.496712	
L	0.87386	
R	3.99881	
L	0.744245	
R	4.22525	
L	0.546302	
R	1.85208	
L	0.0255381	
R	5.72415	
L	0.386316	
R	0.184318	
L	1.7753	
R	0.716177	
L	0.590283	
R	2.26192	
L	2.29034	
R	2.25043	
L	1.13986	
R	1.09233	
L	0.481013	
R	6.24717	
L	0.572501	
R	0.815674	
L	6.98645	
R	1.80646	
L	0.872305	
R	2.03191	
L	2.59629	
R	2.26104	
L	1.38575	
R	4.03632	
L	0.828547	
R	3.12894	
L	2.93478	
R	1.06541	
L	0.830333	
R	7.48649	
L	1.48981	
R	4.33493	
L	2.13624	
R	0.685152	
L	5.56585	
R	0.690074	
L	0.0850667	
R	2.26275	
L	0.752622	
R	1.57652	
L	0.715683	
R	4.21267	
L	1.52871	
R	3.29888	
L	0.176165	
R	2.4543	
L	0.689095	
R	3.76252	
L	0.450226	
R	2.4406	
L	0.0555801	
R	3.63575	
L	0.270541	
R	6.93125	
L	4.10072	
R	5.6228	
L	0.138579	
R	3.94381	
L	2.00219	
R	1.24121	
L	0.430277	
R	0.80458	
L	3.57344	
R	1.73966	
L	0.0384729	
R	0.422492	
L	1.64962	
R	0.42258	
L	1.21802	
R	0.473759	
L	1.59119	
R	6.38992	
L	2.18043	
R	2.77159	
L	0.522455	
R	0.366102	
L	1.01104	
R	0.152173	
L	0.0981852	
R	2.27696	
L	1.20525	
R	0.831919	
L	0.989567	
R	2.01366	
L	2.70798	
R	0.135978	
L	2.39584	
R	0.988258	
L	2.2498	
R	1.22454	
L	0.207643	
R	1.89812	
L	0.061267	
R	0.167009	
L	2.75563	
R	0.201823	
L	0.676006	
R	3.90436	
L	1.27318	
R	3.24086	
L	1.64919	
R	1.44669	
L	1.12172	
R	0.731641	
L	3.36111	
R	6.16322	
L	3.88742	
R	5.95409	
L	0.959123	
R	3.02281	
L	1.33967	
R	7.09232	
L	2.36165	
R	4.29203	
L	10.5557	
R	2.19466	
L	4.68556	
R	3.8905	
L	2.53488	
R	1.39479	
L	0.633822	
R	6.66472	
L	0.948101	
R	0.922248	
L	3.41479	
R	1.35726	
L	0.280498	
R	2.54598	
L	0.583126	
R	0.603285	
L	0.574179	
R	3.01768	
L	2.64316	
R	0.27538	
L	1.54567	
R	0.647319	
L	0.850095	
R	4.43798	
L	0.639418	
R	10.0181	
L	2.09224	
R	0.138501	
L	1.82887	
R	2.16847	
L	1.26957	
R	0.0794085	
L	3.07124	
R	3.58167	
L	5.15812	
R	4.6657	
L	0.00671198	
R	1.4509	
L	1.27069	
R	0.966573	
L	3.86025	
R	2.20622	
L	0.0660561	
R	1.47027	
L	1.06052	
R	3.7676	
L	2.09481	
R	4.87442	
L	7.92565	
R	1.28554	
L	0.189895	
R	1.08033	
L	0.49154	
R	2.33872	
L	1.85863	
R	3.48269	
L	3.20441	
R	0.797294	
L	0.18303	
R	0.564651	
L	0.502273	
R	2.95938	
L	1.44541	
R	11.5603	
L	3.56931	
R	1.92701	
L	0.691269	
R	2.91209	
L	1.35942	
R	2.3364	
L	0.361335	
R	1.62515	
L	2.32575	
R	3.20099	
L	0.437582	
R	2.81482	
L	1.30359	
R	4.49792	
L	0.213189	
R	1.64309	
L	0.485296	
R	0.106679	
L	0.301877	
R	4.93918	
L	5.11301	
R	2.24725	
L	2.58887	
R	2.00258	
L	2.46133	
R	0.462196	
L	5.27238	
R	5.13864	
L	0.0390894	
R	4.34046	
L	0.303006	
R	4.03512	
L	0.445586	
R	2.14676	
L	7.63262	
R	2.51459	
L	3.57633	
R	0.744075	
L	0.7389	
R	4.11846	
L	1.44347	
R	6.3638	
L	1.36043	
R	6.41628	
L	0.0552759	
R	1.71608	
L	6.767	
R	4.22518	
L	1.50855	
R	3.0863	
L	2.8375	
R	2.18269	
L	0.455254	
R	6.52101	
L	2.02361	
R	1.36349	
L	1.33805	
R	5.05633	
L	0.000970516	
R	1.83918	
L	1.0914	
R	0.881107	
L	0.426842	
R	2.44173	
L	0.133393	
R	2.88006	
L	0.741258	
R	0.543771	
L	0.53139	
R	4.52192	
L	1.6094	
R	7.47696	
L	1.04647	
R	2.60085	
L	0.376912	
R	0.49298	
L	0.409033	
R	2.02021	
L	6.54481	
R	0.980914	
L	0.0264796	
R	3.02162	
L	1.94327	
R	4.28285	
L	0.350428	
R	1.1795	
L	0.218841	
