R	8.21874
L	0.0929925
R	6.51213
L	0.478787
R	1.05929
L	0.291315
R	2.88024
L	0.044632
R	0.324565
L	0.949604
R	2.77582
L	3.4712
R	2.73848
L	0.0989919
R	1.11812
L	10.7485
R	2.23676
L	2.88127
R	1.52946
L	1.74714
R	4.29941
L	3.28561
R	0.732107
L	0.330413
R	3.91215
L	3.0531
R	3.73952
L	0.679641
R	2.81935
L	0.56714
R	6.32489
L	0.799607
R	6.55269
L	0.765895
R	4.33285
L	2.74244
R	4.38624
L	1.10632
R	4.1353
L	1.92632
R	1.883
L	1.99114
R	1.17989
L	0.550843
R	1.09347
L	1.00821
R	0.951805
L	3.34147
R	3.5095
L	2.39712
R	10.5316
L	0.76615
R	0.201786
L	0.333794
R	1.72618
L	2.49953
R	3.82066
L	0.976059
R	2.33488
L	0.586004
R	1.01988
L	0.298126
R	1.68835
L	0.334005
R	0.726893
L	0.416806
R	4.44158
L	0.318852
R	1.83275
L	0.325341
R	3.4577
L	2.78352
R	1.1127
L	0.932852
R	0.52683
L	0.212054
R	0.151752
L	3.45078
R	0.599299
L	5.03444
R	4.48903
L	0.481263
R	0.416547
L	1.74028
R	2.50303
L	5.71785
R	0.795428
L	5.02139
R	1.01366
L	2.75804
R	2.7713
L	0.508066
R	6.74953
L	0.312459
R	2.7542
L	1.54356
R	4.76802
L	0.0587959
R	9.93337
L	4.9627
R	4.15846
L	0.843475
R	2.88461
L	1.95493
R	2.13601
L	1.19654
R	1.38375
L	1.23301
R	0.817921
L	0.268103
R	1.39694
L	1.10813
R	3.46392
L	2.25275
R	7.45555
L	4.07506
R	1.53739
L	0.0440909
R	2.02758
L	1.03462
R	0.322614
L	0.0430913
R	6.05428
L	1.52554
R	6.35019
L	3.72549
R	2.0275
L	0.897232
R	2.32171
L	1.30075
R	6.57512
L	0.335667
R	1.93145
L	0.48322
R	2.90829
L	2.79735
R	3.18778
L	0.76022
R	10.1381
L	0.752453
R	3.1735
L	1.35347
R	5.63685
L	1.73714
R	2.26402
L	0.628311
R	1.3708
L	0.82506
R	0.337018
L	2.03703
R	2.01786
L	0.196332
R	1.82788
L	1.68556
R	2.65667
L	0.253832
R	0.869933
L	1.73884
R	1.04583
L	0.595909
R	4.10031
L	0.489923
R	5.78609
L	3.51997
R	0.993124
L	1.62992
R	1.93012
L	1.28175
R	1.56646
L	1.81802
R	4.65619
L	2.71593
R	0.18092
L	0.125965
R	3.57325
L	3.70809
R	0.224058
L	0.972878
R	0.379448
L	0.515099
R	2.69551
L	1.162
R	2.26135
L	0.900492
R	1.67601
L	1.87172
R	4.49289
L	0.608644
R	1.47403
L	1.05062
R	1.41088
L	2.24889
R	6.87102
L	2.69787
R	3.42405
L	1.18695
R	2.46281
L	6.04987
R	3.13304
L	0.147962
R	2.12484
L	0.510684
R	5.03034
L	2.35728
R	0.974663
L	1.65861
R	2.31075
L	1.01051
R	0.907701
L	2.88893
R	2.02641
L	0.440735
R	2.0058
L	1.12983
R	3.60969
L	3.06782
R	1.07113
L	2.05893
R	1.00188
L	2.70437
R	3.82566
L	0.46458
R	3.76984
L	0.482826
R	2.68623
L	3.88588
R	2.50513
L	1.7374
R	1.8979
L	0.983383
R	1.94048
L	1.6462
R	0.388216
L	0.706235
R	2.63121
L	4.50309
R	1.61623
L	0.216497
R	2.95394
L	0.653333
R	5.33103
L	0.679914
R	5.32565
L	0.421459
R	1.7497
L	2.53532
R	4.16031
L	0.603497
R	3.05757
L	1.6366
R	1.9779
L	0.564418
R	0.392713
L	2.1932
R	2.06896
L	2.81666
R	1.23695
L	0.547923
R	3.85961
L	0.0218511
R	0.670986
L	1.52318
R	0.281841
L	0.823305
R	3.68828
L	1.918
R	0.50168
L	4.72721
R	1.02622
L	4.01935
R	5.42694
L	1.53383
R	5.96289
L	1.65284
R	3.97416
L	2.93254
R	5.18782
L	1.33209
R	2.79748
L	1.05552
R	3.77381
L	0.636687
R	2.90751
L	0.341578
R	0.948114
L	2.90615
R	0.296669
L	1.37082
R	4.48731
L	4.70846
R	0.453532
L	0.472574
R	0.397102
L	1.24525
R	2.55459
L	0.296749
R	4.24241
L	1.66317
R	0.398688
L	0.263256
R	6.97642
L	6.15515
R	0.878686
L	0.341468
R	6.72658
L	0.56553
R	1.09873
L	3.07436
R	1.94241
L	3.10212
R	1.36577
L	3.63938
R	2.00669
L	3.63614
R	2.43221
L	0.887153
R	2.25958
L	2.22225
R	2.07533
L	3.14262
R	2.4625
L	1.99629
R	3.77732
L	1.1385
R	2.84727
L	0.825222
R	0.271815
L	1.57805
R	4.51026
L	5.35967
R	1.95002
L	2.12734
R	2.29088
L	0.465744
R	5.19511
L	1.3119
R	8.02016
L	0.515426
R	1.69234
L	0.172835
R	0.641065
L	2.53751
R	1.70381
L	0.269636
R	3.98333
L	2.91703
R	1.0523
L	1.11336
R	4.88948
L	15.746
R	1.52959
L	0.739068
R	2.3171
L	1.69282
R	1.80493
L	2.5548
R	6.43366
L	0.686851
R	1.99372
L	1.0835
R	1.01538
L	4.6794
R	3.16866
L	1.98892
R	2.04097
L	0.744589
R	0.935742
L	2.46389
R	1.87339
L	2.96254
R	3.4231
L	5.63011
R	0.316548
L	2.54288
R	1.85336
L	0.469117
R	1.29009
L	0.516065
R	6.22959
L	0.726612
R	0.136238
L	0.45202
R	11.3282
L	2.08223
R	3.37767
L	4.42356
R	0.297531
L	1.30652
R	1.56233
L	5.8422
R	1.15033
L	1.37571
R	2.00369
L	1.09045
R	1.69504
L	0.102807
R	5.22566
L	0.460366
R	2.19905
L	2.52941
R	1.74618
L	1.91008
R	1.76169
L	3.31612
R	6.96483
L	0.0823776
R	7.96148
L	0.230122
R	0.347149
L	0.72554
R	0.576738
L	0.109263
R	3.14536
L	1.71115
R	2.12527
L	0.157035
R	1.11048
L	3.71431
R	0.61276
L	2.02372
R	9.01181
L	0.434883
R	2.31905
L	0.92243
R	0.878355
L	1.2163
R	3.09379
L	0.0380779
R	4.9291
L	0.124216
R	1.70937
L	4.19132
R	5.49447
L	1.10269
R	1.6748
L	0.260107
R	2.73763
L	2.13954
R	5.70413
L	0.112169
R	1.50462
L	4.53661
R	5.99097
L	2.90551
R	4.67633
L	1.40507
R	1.45921
L	0.554031
R	1.04249
L	0.856207
R	4.50353
L	6.13606
R	1.6984
L	0.791008
R	6.03394
L	3.90977
R	2.9401
L	1.77409
R	0.515709
L	2.25461
R	0.128734
L	1.63133
R	0.6657
L	0.23812
R	0.246624
L	1.19382
R	8.08225
L	0.499964
R	6.53356
L	1.91592
R	0.653903
L	8.64206
R	1.85499
L	0.52755
R	0.318473
L	3.85326
R	1.3479
L	1.92136
R	0.44124
L	1.79907
R	2.82873
L	0.732491
R	9.97001
L	2.88055
R	0.181168
L	0.937772
R	6.86223
L	1.86086
R	4.09645
L	0.552083
R	2.73313
L	0.816849
R	6.67549
L	6.64675
R	1.22403
L	4.03903
R	1.83388
L	0.509758

